,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
1,Apartament u stóp Wawelu,: Stare Miasto,2.0,745 000 ,52.5,14190.0,https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#89e33f6554,2019-03-07 15:26:00.407141,"Krakow , : Stare Miasto",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.9354553913683, 0.0)",50.05465045,19.9354553913683,0.0
7,Do remontu w niskiej zabudowie + ogródek!,: Stare Dębniki,2.0,286 000 ,35.6,8034.0,https://www.otodom.pl/oferta/do-remontu-w-niskiej-zabudowie-ogrodek-ID3WZOQ.html#89e33f6554,2019-03-07 15:26:00.408144,"Krakow , : Stare Dębniki",budowie,Kraków budowie,"Cmentarz komunalny w budowie, Dębniki, Kraków, województwo małopolskie, Polska",ulica,"(50.0000448, 19.8424100466026, 0.0)",50.0000448,19.8424100466026,0.0
12,Ostatnie Piętro 4pok.przy Łąkach Nowohuckich!,: Czyżyny,4.0,484 608 ,81.31,5960.0,https://www.otodom.pl/oferta/ostatnie-pietro-4pok-przy-lakach-nowohuckich-ID3WZN2.html#89e33f6554,2019-03-07 15:26:00.409147,"Krakow , : Czyżyny",Ostatnia,Kraków Ostatnia,"Ostatnia, Wieczysta, Prądnik Czerwony, Kraków, województwo małopolskie, 31-444, Polska",ulica,"(50.0715256, 19.9780479, 0.0)",50.0715256,19.9780479,0.0
13,Nowe 2 pokojowe 40m2  Głowackiego,: Bronowice Małe,2.0,370 000 ,40.3,9181.0,https://www.otodom.pl/oferta/nowe-2-pokojowe-40m2-ul-glowackiego-ID3WZI8.html#89e33f6554,2019-03-07 15:26:00.409147,"Krakow , : Bronowice Małe",Głowackiego,Kraków Głowackiego,"Głowackiego, Podchorążych, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-124, Polska",ulica,"(50.0753634, 19.9068009, 0.0)",50.0753634,19.9068009,0.0
23,3 pokoje wysoki standard Ugorek,: Ugorek,3.0,429 700 ,48.7,8823.0,https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-ugorek-ID3WZoQ.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Ugorek",Ugorek,Kraków Ugorek,"Ugorek, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",ulica,"(50.0770309, 19.9814802435134, 0.0)",50.0770309,19.9814802435134,0.0
26,Sprzedam 2 apartamenty na Topolowej pod inwestycje,: Stare Miasto,3.0,790 000 ,78.5,10064.0,https://www.otodom.pl/oferta/sprzedam-2-apartamenty-na-topolowej-pod-inwestycje-ID3WZfy.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Stare Miasto",Topolowa,Kraków Topolowa,"Topolowa, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-506, Polska",ulica,"(50.0666513, 19.95419, 0.0)",50.0666513,19.95419,0.0
27,Zamieszkaj na Dąbiu !,: Dąbie,2.0,386 100 ,39.0,9900.0,https://www.otodom.pl/oferta/zamieszkaj-na-dabiu-ID3WZ7u.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Dąbie",Zamiejska,Kraków Zamiejska,"Zamiejska, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-390, Polska",ulica,"(50.011705, 19.8959791, 0.0)",50.011705,19.8959791,0.0
28,2 pokojowe z Ogródkiem  43m2  Wola Justowska,: Bronowice,2.0,416 000 ,43.0,9674.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Bronowice",Justowska,Kraków Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
29,Pl. Bohaterów Getta  2 pokoje !!!,: Stare Podgórze,2.0,475 000 ,43.3,10970.0,https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Stare Podgórze",Getta,Kraków Getta,"Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, 30-527, Polska",ulica,"(50.0467232, 19.9543811153814, 0.0)",50.0467232,19.9543811153814,0.0
30,Kraków  Śródmieście  Olsza –  ca Idzikowskiego,: Śródmieście,2.0,290 000 ,25.09,11558.0,https://www.otodom.pl/oferta/krakow-srodmiescie-olsza-ulica-idzikowskiego-ID3WZ3G.html#89e33f6554,2019-03-07 15:26:00.411152,"Krakow , : Śródmieście",Irzykowskiego,Kraków Irzykowskiego,"Karola Irzykowskiego, Łuczanowice, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-990, Polska",ulica,"(50.1144237, 20.1107216, 0.0)",50.1144237,20.1107216,0.0
34,Bezpośrednio   Kawalerka  Strusia 25m2,: Nowa Huta,1.0,228 000 ,25.0,9120.0,https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a,2019-03-07 15:26:01.294507,"Krakow , : Nowa Huta",Strusia,Kraków Strusia,"Osiedle Józefa Strusia, Bieńczyce, Kraków, województwo małopolskie, Polska",ulica,"(50.08848715, 20.0098691963755, 0.0)",50.08848715,20.0098691963755,0.0
47,2 pokojowe z Ogródkiem  Gotowe VI 2019  Żabiniec,: Żabiniec,2.0,385 000 ,56.5,6814.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-gotowe-vi-2019-zabiniec-ID3WYQ4.html#3f7ebb237a,2019-03-07 15:26:01.295509,"Krakow , : Żabiniec",Żabiniec,Kraków Żabiniec,"Żabiniec, Casa Feliz, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska",ulica,"(50.083371, 19.9417329, 0.0)",50.083371,19.9417329,0.0
48,Z widokiem na Wawel  winda w kamienicy  antresola,: Kazimierz,1.0,390 000 ,30.0,13000.0,https://www.otodom.pl/oferta/z-widokiem-na-wawel-winda-w-kamienicy-antresola-ID3WYHa.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : Kazimierz",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.9354553913683, 0.0)",50.05465045,19.9354553913683,0.0
54,1 pok Agatowa 27m2 Nowe,: ocień,3.0,188 000 ,27.0,6963.0,https://www.otodom.pl/oferta/1-pok-agatowa-27m2-nowe-ID3WYvY.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : ocień",Agatowa,Kraków Agatowa,"Agatowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",ulica,"(50.0201836, 20.0473713, 0.0)",50.0201836,20.0473713,0.0
56,3 pok. Agatowa,: ocień,3.0,275 000 ,49.0,5612.0,https://www.otodom.pl/oferta/3-pok-agatowa-ID3WYvQ.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : ocień",Agatowa,Kraków Agatowa,"Agatowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",ulica,"(50.0201836, 20.0473713, 0.0)",50.0201836,20.0473713,0.0
57,Kapelanka 6a   high standard   parking place!,: Dębniki,2.0,545 000 ,49.8,10944.0,https://www.otodom.pl/oferta/kapelanka-6a-high-standard-parking-place-ID3WYuc.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : Dębniki",Kapelanka,Kraków Kapelanka,"Kapelanka, Zakrzówek, Dębniki, Kraków, województwo małopolskie, 30-346, Polska",ulica,"(50.044749, 19.9219956, 0.0)",50.044749,19.9219956,0.0
59,Prokocim  3 pokoje,: Bieżanów-Prokocim,3.0,315 000 ,51.2,6152.0,https://www.otodom.pl/oferta/prokocim-3-pokoje-ID3WYmU.html#3f7ebb237a,2019-03-07 15:26:01.297515,"Krakow , : Bieżanów-Prokocim",Prokocimia,Kraków Prokocimia,"Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.0226748, 19.9921741, 0.0)",50.0226748,19.9921741,0.0
65,2 pokoje 37m2  Na Lotnisku.,: Górka Narodowa,2.0,265 000 ,36.35,7290.0,https://www.otodom.pl/oferta/2-pokoje-37m2-os-na-lotnisku-ID3WVza.html#85fbb29208,2019-03-07 15:26:02.253062,"Krakow , : Górka Narodowa",Lotnisko,Kraków Lotnisko,"Kraków Lotnisko, Kapitana Mieczysława Medweckiego, Balice, gmina Zabierzów, powiat krakowski, województwo małopolskie, 32-083, Polska",ulica,"(50.0709059, 19.8011655991676, 0.0)",50.0709059,19.8011655991676,0.0
71,Mieszkanie w centrum Krakowa 69m2  3 pokoje,: Grzegórzki,3.0,600 000 ,69.0,8696.0,https://www.otodom.pl/oferta/mieszkanie-w-centrum-krakowa-69m2-3-pokoje-ID3WY68.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Grzegórzki",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
75,3 pokoje z Ogrodem w malowniczej okolicy Ruczaju,: Ruczaj,3.0,447 000 ,77.0,5805.0,https://www.otodom.pl/oferta/3-pokoje-z-ogrodem-w-malowniczej-okolicy-ruczaju-ID3WY5O.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Ruczaj",Ogrodem,Kraków Ogrodem,"Za Ogrodem, Grado schody i balutrady, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-990, Polska",ulica,"(50.0986422, 20.1175645, 0.0)",50.0986422,20.1175645,0.0
76,Dom w cenie mieszkania! ok.   Łokietka,: małopolskie,3.0,384 960 ,64.0,6015.0,https://www.otodom.pl/oferta/dom-w-cenie-mieszkania-ok-ul-lokietka-ID3WY5K.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : małopolskie",Łokietka,Kraków Łokietka,"Łokietka, Władysława Łokietka, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-279, Polska",ulica,"(50.085377, 19.9235123, 0.0)",50.085377,19.9235123,0.0
78,3 pokojowe mieszkanie   Zielone Bronowice,: Bronowice Wielkie,3.0,340 000 ,50.0,6800.0,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-zielone-bronowice-ID3WY4Q.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Bronowice Wielkie",Zielona,Kraków Zielona,"Zielona, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-623, Polska",ulica,"(50.020073, 19.9496437, 0.0)",50.020073,19.9496437,0.0
88,Obozowa  38m2  2 Pokoje  Balkon,: Borek Fałęcki,2.0,299 000 ,38.0,7868.0,https://www.otodom.pl/oferta/obozowa-38m2-2-pokoje-balkon-ID3WXEU.html#85fbb29208,2019-03-07 15:26:02.255068,"Krakow , : Borek Fałęcki",Obozowa,Kraków Obozowa,"Obozowa, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-430, Polska",ulica,"(50.0206194, 19.9145455, 0.0)",50.0206194,19.9145455,0.0
99,2 pok. mieszkanie 33 mkw  Mistrzejowice,: Mistrzejowice,2.0,234 430 ,33.49,7000.0,https://www.otodom.pl/oferta/2-pok-mieszkanie-33-mkw-mistrzejowice-ID3WXlV.html#d245b9f81f,2019-03-07 15:26:03.120374,"Krakow , : Mistrzejowice",Mistrzejowicka,Kraków Mistrzejowicka,"Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-651, Polska",ulica,"(50.0969093, 20.0259479, 0.0)",50.0969093,20.0259479,0.0
105,Mieszkanie 3 pok. Prokocim  Bieżanów,: Bieżanów-Prokocim,3.0,480 000 ,63.0,7619.0,https://www.otodom.pl/oferta/mieszkanie-3-pok-prokocim-biezanow-ID3WXcM.html#d245b9f81f,2019-03-07 15:26:03.121377,"Krakow , : Bieżanów-Prokocim",Prokocimia,Kraków Prokocimia,"Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.0226748, 19.9921741, 0.0)",50.0226748,19.9921741,0.0
110,3 Pokojowe   29 Listopada   Pod Inwestycję  Okazja,: Śródmieście,3.0,499 000 ,63.0,7921.0,https://www.otodom.pl/oferta/3-pokojowe-29-listopada-pod-inwestycje-okazja-ID3WVIo.html#d245b9f81f,2019-03-07 15:26:03.121377,"Krakow , : Śródmieście",Listopada,Kraków Listopada,"Aleja 29 Listopada, Rogatka Warszawska, Stare Miasto, Kraków, województwo małopolskie, 31-425, Polska",ulica,"(50.0815931, 19.9513118, 0.0)",50.0815931,19.9513118,0.0
111,2 Pokoje W Nowej Inwestycji Ul.Mogilska!,: Olsza,2.0,399 000 ,43.0,9279.0,https://www.otodom.pl/oferta/2-pokoje-w-nowej-inwestycji-ul-mogilska-ID3WVCY.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Olsza",Pokoju,Kraków Pokoju,"Aleja Pokoju, Czyżyny, Kraków, województwo małopolskie, 31-982, Polska",ulica,"(50.0726746, 20.0168791, 0.0)",50.0726746,20.0168791,0.0
112,2 Pokoje W Nowej Inwestycji Blisko Centrum,: Prądnik Biały,1.0,290 000 ,29.0,10000.0,https://www.otodom.pl/oferta/2-pokoje-w-nowej-inwestycji-blisko-centrum-ID3WVD2.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Prądnik Biały",Pokoju,Kraków Pokoju,"Aleja Pokoju, Czyżyny, Kraków, województwo małopolskie, 31-982, Polska",ulica,"(50.0726746, 20.0168791, 0.0)",50.0726746,20.0168791,0.0
113,2 pokojowe mieszkanie Wrocławska  Kraków,: Krowodrza,2.0,515 000 ,49.0,10510.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-wroclawska-krakow-ID3WVCM.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Krowodrza",Wrocławska,Kraków Wrocławska,"Wrocławska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 31-306, Polska",ulica,"(50.0815775, 19.9161234, 0.0)",50.0815775,19.9161234,0.0
114,4 pokoje na Dauna do remontu,: Wola Duchacka,4.0,440 000 ,79.0,5570.0,https://www.otodom.pl/oferta/4-pokoje-na-dauna-do-remontu-ID3WVCI.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Wola Duchacka",Dauna,Kraków Dauna,"Dauna, Osiedle Kozłówek, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.01928555, 19.9777740260409, 0.0)",50.01928555,19.9777740260409,0.0
115,3 pokojowe piękne mieszkanie Podgórze Duchackie,: Kurdwanów,3.0,340 000 ,62.0,5484.0,https://www.otodom.pl/oferta/3-pokojowe-piekne-mieszkanie-podgorze-duchackie-ID3WVCA.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Kurdwanów",Duchacka,Kraków Duchacka,"Duchacka, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-426, Polska",ulica,"(50.0842566, 19.9535619, 0.0)",50.0842566,19.9535619,0.0
116,3 pokojowe mieszkanie dla Ciebie Teligi  Bieżanów,: Bieżanów,3.0,349 000 ,51.2,6816.0,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-dla-ciebie-teligi-biezanow-ID3WVCE.html#d245b9f81f,2019-03-07 15:26:03.122380,"Krakow , : Bieżanów",Teligi,Kraków Teligi,"Teligi, Nowy Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.0165281, 20.00630625, 0.0)",50.0165281,20.00630625,0.0
132,2mieszkania na Kalwaryjskiej w cenie 1,: Stare Podgórze,3.0,640 000 ,75.35,8494.0,https://www.otodom.pl/oferta/2mieszkania-na-kalwaryjskiej-w-cenie-1-ID3WVvI.html#2586a7ec49,2019-03-07 15:26:04.045844,"Krakow , : Stare Podgórze",Kalwaryjska,Kraków Kalwaryjska,"Kalwaryjska, Podgórze, Kraków, województwo małopolskie, 30-509, Polska",ulica,"(50.0438264, 19.947108, 0.0)",50.0438264,19.947108,0.0
133,Mieszkanie 1 pok   gotowe! Bronowice,: Bronowice Małe,1.0,213 000 ,27.0,7889.0,https://www.otodom.pl/oferta/mieszkanie-1-pok-gotowe-bronowice-ID3WVuU.html#2586a7ec49,2019-03-07 15:26:04.045844,"Krakow , : Bronowice Małe",Bronowicka,Kraków Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-122, Polska",ulica,"(50.0775327, 19.9016366, 0.0)",50.0775327,19.9016366,0.0
137,Okazja!4 pokoje 60 65m2 ok.  Piastowskiej,: małopolskie,4.0,489 000 ,60.65,8063.0,https://www.otodom.pl/oferta/okazja-4-pokoje-60-65m2-ok-ul-piastowskiej-ID3WVpm.html#2586a7ec49,2019-03-07 15:26:04.046845,"Krakow , : małopolskie",Piastowska,Kraków Piastowska,"Piastowska, Salwator, Zwierzyniec, Kraków, województwo małopolskie, 30-213, Polska",ulica,"(50.0608909, 19.9012341, 0.0)",50.0608909,19.9012341,0.0
138,Okazja!4 pokoje 80m2   Fatimska Kraków,: Bieńczyce,4.0,379 000 ,79.7,4755.0,https://www.otodom.pl/oferta/okazja-4-pokoje-80m2-ul-fatimska-krakow-ID3WVo4.html#2586a7ec49,2019-03-07 15:26:04.046845,"Krakow , : Bieńczyce",Fatimska,Kraków Fatimska,"Fatimska, Bieńczyce, Kraków, województwo małopolskie, 31-963, Polska",ulica,"(50.0848747, 20.0371374, 0.0)",50.0848747,20.0371374,0.0
141,Kraków   Stare Miasto     Pawlikowskiego   40 m2,: Stare Miasto,2.0,399 000 ,40.0,9975.0,https://www.otodom.pl/oferta/krakow-stare-miasto-ul-pawlikowskiego-40-m2-ID3WVli.html#2586a7ec49,2019-03-07 15:26:04.047848,"Krakow , : Stare Miasto",Starego,Kraków Starego,"Zygmunta Starego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-198, Polska",ulica,"(50.0801801, 19.8536978, 0.0)",50.0801801,19.8536978,0.0
146,Okazja  3 pokoje  Żabiniec,: Żabiniec,3.0,419 000 ,59.0,7102.0,https://www.otodom.pl/oferta/okazja-3-pokoje-zabiniec-ID3WV9O.html#2586a7ec49,2019-03-07 15:26:04.048852,"Krakow , : Żabiniec",Żabiniec,Kraków Żabiniec,"Żabiniec, Casa Feliz, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska",ulica,"(50.083371, 19.9417329, 0.0)",50.083371,19.9417329,0.0
160,2pok na Nowym Osiedlu z Pełną Infrastrukturą!,: małopolskie,2.0,208 000 ,34.12,6096.0,https://www.otodom.pl/oferta/2pok-na-nowym-osiedlu-z-pelna-infrastruktura-ID3WV7G.html#d5a755bd0e,2019-03-07 15:26:05.065561,"Krakow , : małopolskie",Nowy,Kraków Nowy,"Kraków, województwo małopolskie, Polska",ulica,"(50.0469432, 19.9971534358367, 0.0)",50.0469432,19.9971534358367,0.0
166,Zabłocie 3 Pokoje! Wykończone!,: Grzegórzki,3.0,660 000 ,69.91,9441.0,https://www.otodom.pl/oferta/zablocie-3-pokoje-wykonczone-ID3WV48.html#d5a755bd0e,2019-03-07 15:26:05.066563,"Krakow , : Grzegórzki",Zabłocie,Kraków Zabłocie,"Kraków Zabłocie, Kącik, Podgórze, Kraków, województwo małopolskie, 30-549, Polska",ulica,"(50.0481266, 19.9574154, 0.0)",50.0481266,19.9574154,0.0
167,Sprzedam dwupokojowe mieszkanie  Bajeczna,: Grzegórzki,2.0,448 000 ,46.0,9739.0,https://www.otodom.pl/oferta/sprzedam-dwupokojowe-mieszkanie-bajeczna-ID3WV1m.html#d5a755bd0e,2019-03-07 15:26:05.066563,"Krakow , : Grzegórzki",Bajeczna,Kraków Bajeczna,"Bajeczna, Dąbie, Grzegórzki, Kraków, województwo małopolskie, 31-566, Polska",ulica,"(50.0574115, 19.9766744, 0.0)",50.0574115,19.9766744,0.0
170,Kawalerki na Nowym Osiedlu dla Inwestora! Sprawdź!,: małopolskie,1.0,176 000 ,27.0,6519.0,https://www.otodom.pl/oferta/kawalerki-na-nowym-osiedlu-dla-inwestora-sprawdz-ID3WWXy.html#d5a755bd0e,2019-03-07 15:26:05.066563,"Krakow , : małopolskie",Nowy,Kraków Nowy,"Kraków, województwo małopolskie, Polska",ulica,"(50.0469432, 19.9971534358367, 0.0)",50.0469432,19.9971534358367,0.0
172,Prądnik Czerwony  Strzelców   47m2 0% Prowizji,: Prądnik Czerwony,2.0,319 000 ,47.0,6787.0,https://www.otodom.pl/oferta/pradnik-czerwony-ul-strzelcow-47m2-0-prowizji-ID3WWWa.html#d5a755bd0e,2019-03-07 15:26:05.066563,"Krakow , : Prądnik Czerwony",Czerwona,Kraków Czerwona,"Czerwona, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-426, Polska",ulica,"(50.0849372, 19.9554073, 0.0)",50.0849372,19.9554073,0.0
175,Ok. Wrocławska  deweloperskie  19 01m2  1 pokój !!,: Krowodrza,1.0,190 100 ,19.01,10000.0,https://www.otodom.pl/oferta/ok-wroclawska-deweloperskie-19-01m2-1-pokoj-ID3WWRm.html#d5a755bd0e,2019-03-07 15:26:05.067566,"Krakow , : Krowodrza",Wrocławska,Kraków Wrocławska,"Wrocławska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 31-306, Polska",ulica,"(50.0815775, 19.9161234, 0.0)",50.0815775,19.9161234,0.0
177,Kleparz  Ok. Wrocławska 36m2  2pok  II piętro  d,: Krowodrza,2.0,320 000 ,36.04,8879.0,https://www.otodom.pl/oferta/kleparz-ok-wroclawska-36m2-2pok-ii-pietro-d-ID3WWMA.html#d5a755bd0e,2019-03-07 15:26:05.067566,"Krakow , : Krowodrza",Wrocławska,Kraków Wrocławska,"Wrocławska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 31-306, Polska",ulica,"(50.0815775, 19.9161234, 0.0)",50.0815775,19.9161234,0.0
190,2 lub 3 pokoje z jasną kuchnią Wadowicka aktualne,: Podgórze,2.0,399 000 ,45.0,8867.0,https://www.otodom.pl/oferta/2-lub-3-pokoje-z-jasna-kuchnia-wadowicka-aktualne-ID3WWyg.html#0c43dd2d44,2019-03-07 15:26:05.951924,"Krakow , : Podgórze",Wadowicka,Kraków Wadowicka,"Wadowicka, Mateczny, Podgórze, Kraków, województwo małopolskie, 30-524, Polska",ulica,"(50.0357294, 19.9403366, 0.0)",50.0357294,19.9403366,0.0
194,3 pokojowe na Krakowskim Kazimierzu,: Kazimierz,3.0,990 000 ,78.78,12567.0,https://www.otodom.pl/oferta/3-pokojowe-na-krakowskim-kazimierzu-ID3WWmg.html#0c43dd2d44,2019-03-07 15:26:05.952927,"Krakow , : Kazimierz",Krakowskich,Kraków Krakowskich,"Matematyków Krakowskich, Wróblowice, Swoszowice, Kraków, województwo małopolskie, 30-698, Polska",ulica,"(49.9727425, 19.947943, 0.0)",49.9727425,19.947943,0.0
195,3 pokojowe o fajnym układzie    Komuny Paryskiej,: Kliny-Zacisze,3.0,480 000 ,60.43,7943.0,https://www.otodom.pl/oferta/3-pokojowe-o-fajnym-ukladzie-ul-komuny-paryskiej-ID3WWlV.html#0c43dd2d44,2019-03-07 15:26:05.952927,"Krakow , : Kliny-Zacisze",Paryskiej,Kraków Paryskiej,"Komuny Paryskiej, Osiedle Pod Dębem, Swoszowice, Kraków, województwo małopolskie, 30-389, Polska",ulica,"(50.0052288, 19.8962329, 0.0)",50.0052288,19.8962329,0.0
204,Stare Miasto   idealne pod wynajem dla turystów!,: Grzegórzki,2.0,475 200 ,39.6,12000.0,https://www.otodom.pl/oferta/stare-miasto-idealne-pod-wynajem-dla-turystow-ID3NZ32.html#4b28cb7416,2019-03-07 15:26:07.035813,"Krakow , : Grzegórzki",Starego,Kraków Starego,"Zygmunta Starego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-198, Polska",ulica,"(50.0801801, 19.8536978, 0.0)",50.0801801,19.8536978,0.0
206,Ekskluzywne mieszkanie przy Aleji Kijowskiej 59m2,: Krowodrza,3.0,580 000 ,58.8,9864.0,https://www.otodom.pl/oferta/ekskluzywne-mieszkanie-przy-aleji-kijowskiej-59m2-ID3W6zm.html#4b28cb7416,2019-03-07 15:26:07.035813,"Krakow , : Krowodrza",Kulinowskiej,Kraków Kulinowskiej,"Zofii Kulinowskiej, Wadów, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-988, Polska",ulica,"(50.0971526, 20.1269411, 0.0)",50.0971526,20.1269411,0.0
208,Apartamenty Dworska  Gotowe mieszkanie! Promocja!,: małopolskie,3.0,515 510 ,65.6,7858.0,https://www.otodom.pl/oferta/apartamenty-dworska-gotowe-mieszkanie-promocja-ID3B82A.html#4b28cb7416,2019-03-07 15:26:07.035813,"Krakow , : małopolskie",Dworska,Kraków Dworska,"Dworska, Osiedle Podwawelskie, Dębniki, Kraków, województwo małopolskie, 30-312, Polska",ulica,"(50.0447439, 19.9262001, 0.0)",50.0447439,19.9262001,0.0
228,Nowoczesny apartament na Kochanowskiego,: Stare Miasto,4.0,850 000 ,96.18,8838.0,https://www.otodom.pl/oferta/nowoczesny-apartament-na-kochanowskiego-ID3UAaA.html#4b28cb7416,2019-03-07 15:26:07.038821,"Krakow , : Stare Miasto",Kochanowskiego,Kraków Kochanowskiego,"Jana Kochanowskiego, Piasek, Stare Miasto, Kraków, województwo małopolskie, 31-127, Polska",ulica,"(50.0661357, 19.927934, 0.0)",50.0661357,19.927934,0.0
236,Luksusowy Apartament Z Kominkiem Bronowice Małe,: Bronowice,4.0,950 000 ,111.39,8529.0,https://www.otodom.pl/oferta/luksusowy-apartament-z-kominkiem-bronowice-male-ID3Uui4.html#89e33f6554,2019-03-08 11:46:14.283211,"Krakow , : Bronowice",Bronowicka,Kraków Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-122, Polska",ulica,"(50.0775327, 19.9016366, 0.0)",50.0775327,19.9016366,0.0
242,Tylko 5400 /m2  nowe  3  pokojowe   Opalowa,: Bieżanów-Prokocim,3.0,283 986 ,52.5,5409.0,https://www.otodom.pl/oferta/tylko-5400-zl-m2-nowe-3-pokojowe-ul-opalowa-ID3V3fS.html#89e33f6554,2019-03-08 11:46:14.283211,"Krakow , : Bieżanów-Prokocim",Opalowa,Kraków Opalowa,"Opalowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",ulica,"(50.0213418, 20.0521586, 0.0)",50.0213418,20.0521586,0.0
243,Nowe  Tylko 4399 /m2   Opalowa,: Bieżanów-Prokocim,4.0,340 685 ,79.39,4291.0,https://www.otodom.pl/oferta/nowe-tylko-4399-zl-m2-ul-opalowa-ID3V3eU.html#89e33f6554,2019-03-08 11:46:14.298839,"Krakow , : Bieżanów-Prokocim",Opalowa,Kraków Opalowa,"Opalowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",ulica,"(50.0213418, 20.0521586, 0.0)",50.0213418,20.0521586,0.0
